Timestamp,1. Gender,2. Age ,3. Where do you live? (District),4. What's your occupation?,5. What's your Education Level? ,6. What's your Monthly income?,7. How did you get to know about mobile banking?,8. How long have you been using mobile banking for?,"9. Is your mobile banking service addition to an existing bank account or separate service(Mobile wallet, ex: frimi)?",10. What types of accounts do you have? ,11. What is the type of bank you use for mobile banking application?,12.  What kind of operations are you doing using the mobile application? ,13. How often do you use the mobile application to do the above-mentioned tasks ?,14. How far is the bank branch where you do business (or live)?,"15. Do you generally send, receive, or do both send and receive?",16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [My mobile banking menu is very easy to navigate],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [My mobile banking menu is very easy to understand],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [It is easy to make a payment],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [It is easy to make transfer money],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [It is easy to make a balance inquiry],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [Do you think that you will save time by using a mobile banking application?],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [Do you think the mobile banking is secure with compared to the physically going to a bank and doing the operations?],17. Please rate your knowledge of Your Mobile banking services. ,18. How satisfied were you with the current banking application? *Both presented and pre-read material,19. How can the mobile banking apps could be improved to fit your needs well?,20. Do you recommend other users to use mobile banking apps? 
05/11/2020 08:55:12,Male,31 - 40,Colombo,Private Sector Job,Degree or above,"150,000 to 200,000",Self,5 years or more,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts",Once in two weeks,100m to 1Km,Both,4,4,4,4,4,5,3,4,4,"Keep it Simple, More value added services, Better User Interface",Yes
05/11/2020 08:56:29,Male,19 -30,Colombo,Private Sector Job,Degree or above,"50,000 - 100,000",Bank,One year to five years,An addition,Both,Private,"Checking bank balance, Transfer money to the other accounts, International payments",Weekly,100m to 1Km,Both,2,1,4,4,4,5,5,3,2,"Keep it Simple, Add more features, Lightweight and speed, Better User Interface",Yes
05/11/2020 08:56:37,Female,41 - 50,Colombo,Self-Employed,Degree or above,"200,000+",Internet or Article,One year to five years,Separate,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Weekly,1Km to 5Km,Both,5,5,5,5,5,5,5,5,5,"Keep it Simple, Lightweight and speed, Better User Interface, Free demo by the banks",Yes
05/11/2020 09:00:40,Female,19 -30,Colombo,Private Sector Job,Degree or above,"100,000 - 150,000",Friends,One year to five years,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, International payments",Monthly,100m to 1Km,Both,4,4,2,2,4,4,3,4,3,"Keep it Simple, Add more features, Lightweight and speed, More value added services, Better User Interface",Yes
05/11/2020 09:00:56,Male,19 -30,Jaffna,Private Sector Job,Degree or above,"150,000 to 200,000",Bank,One year to five years,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Daily,1Km to 5Km,Both,4,4,4,4,4,4,3,4,4,"Keep it Simple, Add more features, Lightweight and speed",Yes
05/11/2020 09:02:03,Female,19 -30,Colombo,Government Job,Degree or above,"Below 50,000",Bank,One year to five years,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Weekly,100m to 1Km,Both,4,4,5,5,5,5,5,4,4,"Add more features, Lightweight and speed, Better User Interface",Yes
05/11/2020 09:03:07,Female,19 -30,Colombo,Private Sector Job,Degree or above,"50,000 - 100,000",Bank,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Monthly,100m to 1Km,Send,5,4,4,4,4,5,5,4,4,"Keep it Simple, Add more features, Lightweight and speed, Better User Interface",Yes
05/11/2020 09:10:49,Female,31 - 40,Kandy,Private Sector Job,A/L,"50,000 - 100,000",Advertisement,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Weekly,1Km to 5Km,Both,4,5,4,4,5,5,4,3,4,"Keep it Simple, Add more features, Lightweight and speed, Better User Interface",Yes
05/11/2020 09:12:01,Female,19 -30,Galle,Private Sector Job,Degree or above,"Below 50,000",Internet or Article,Less than a year,,Savings Account,Private,Pay utility bills,Monthly,more than 5Km,Receive,4,4,4,4,4,4,3,4,3,"Add more features, Lightweight and speed, More value added services, Better User Interface",Yes
05/11/2020 09:14:13,Male,31 - 40,Colombo,Private Sector Job,Degree or above,"100,000 - 150,000",Self,5 years or more,Separate,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Weekly,1Km to 5Km,Both,3,3,5,2,5,5,3,5,3,"Keep it Simple, Add more features, Lightweight and speed, More value added services, Better User Interface",Yes
